1,28,4,140,90,2264,15.5,71,chevrolet vega 2300
2,19,3,70,97,2330,13.5,72,mazda rx2 coupe
3,36,4,107,75,2205,14.5,82,honda accord
4,28,4,97,92,2288,17,72,datsun 510 (sw)
5,21,6,199,90,2648,15,70,amc gremlin
6,23,4,115,95,2694,15,75,audi 100ls
7,15.5,8,304,120,3962,13.9,76,amc matador
8,32.9,4,119,100,2615,14.8,81,datsun 200sx
9,16,6,250,105,3897,18.5,75,chevroelt chevelle malibu
10,13,8,318,150,3755,14,76,dodge d100
11,12,8,429,198,4952,11.5,73,mercury marquis brougham
12,30.7,6,145,76,3160,19.6,81,volvo diesel
13,13,8,302,130,3870,15,76,ford f108
14,27.9,4,156,105,2800,14.4,80,dodge colt
15,13,8,400,190,4422,12.5,72,chrysler newport royal
16,23.8,4,151,85,2855,17.6,78,oldsmobile starfire sx
17,29,4,90,70,1937,14.2,76,vw rabbit
18,14,8,400,175,4385,12,72,pontiac catalina
19,14,8,302,140,4638,16,74,ford gran torino (sw)
20,29,4,135,84,2525,16,82,dodge aries se
21,20.5,6,225,100,3430,17.2,78,plymouth volare
22,26.6,4,151,84,2635,16.4,81,buick skylark
23,20,4,140,90,2408,19.5,72,chevrolet vega
24,20,4,114,91,2582,14,73,audi 100ls
25,26.4,4,140,88,2870,18.1,80,ford fairmont
26,16,8,400,170,4668,11.5,75,pontiac catalina
27,40.8,4,85,65,2110,19.2,80,datsun 210
28,15,8,383,170,3563,10,70,dodge challenger se
29,18,6,199,97,2774,15.5,70,amc hornet
30,35,4,72,69,1613,18,71,datsun 1200
31,26.5,4,140,72,2565,13.6,76,ford pinto
32,13,8,307,130,4098,14,72,chevrolet chevelle concours (sw)
33,25.8,4,156,92,2620,14.4,81,dodge aries wagon (sw)
34,39.1,4,79,58,1755,16.9,81,toyota starlet
35,25,4,104,95,2375,17.5,70,saab 99e
36,14,8,351,153,4154,13.5,71,ford galaxie 500
37,19.4,6,232,90,3210,17.2,78,amc concord
38,30,4,97,67,1985,16.4,77,subaru dl
39,32,4,135,84,2295,11.6,82,dodge rampage
40,26,4,97,46,1950,21,73,volkswagen super beetle
41,20.6,6,225,110,3360,16.6,79,dodge aspen 6
42,17.5,8,305,140,4215,13,76,chevrolet chevelle malibu classic
43,18,6,250,88,3139,14.5,71,ford mustang
44,14,8,318,150,4237,14.5,73,plymouth fury gran sedan
45,27,4,97,88,2130,14.5,70,datsun pl510
46,25.1,4,140,88,2720,15.4,78,ford fairmont (man)
47,14,8,351,148,4657,13.5,75,ford ltd
48,19.1,6,225,90,3381,18.7,80,dodge aspen
