Income,Phone_type,Car_type
89800,Android,Luxury
47500,Android,Non-Luxury
45000,iPhone,Luxury
44700,,Luxury
59500,iPhone,Luxury
,Android,Non-Luxury
63300,iPhone,Non-Luxury
52900,Android,Luxury
78200,Android,Luxury
145100,iPhone,Luxury
88600,iPhone,Non-Luxury
65600,iPhone,Luxury
,Android,Non-Luxury
94600,Android,Luxury
59400,iPhone,Luxury
47300,iPhone,Non-Luxury
72100,,Luxury
0,iPhone,Non-Luxury
0,Android,Luxury
83000,iPhone,Luxury
64100,Android,Non-Luxury
42100,iPhone,Non-Luxury
0,iPhone,Luxury
91500,iPhone,Non-Luxury
51200,Android,Luxury
13800,iPhone,Non-Luxury
47500,iPhone,Non-Luxury
