price,pred
24,21.05
21.6,22.76
34.7,38.64
33.4,35.47
36.2,34.75
28.7,33.81
22.9,22.02
27.1,27.79
16.5,16.07
18.9,18.51
15,13.19
18.9,15.89
21.7,20.54
20.4,23.04
18.2,17.83
19.9,17.02
23.1,18.93
17.5,16.75
20.2,19.08
18.2,21.88
13.6,16.83
19.6,20.92
15.2,13.86
14.5,11.7
15.6,17.11
13.9,11.21
16.6,21.14
14.8,9.85
18.4,21.3
21,22.15
12.7,14.84
14.5,18.7
13.2,19.84
13.1,6.25
13.5,7.05
18.9,20.09
20,19.68
21,28.71
24.7,25.23
30.8,31.86
34.9,34.69
26.6,24.25
25.3,27.36
24.7,23.05
21.2,19.29
19.3,16.26
20,15.03
16.6,18.69
14.4,15.76
19.4,17.21
19.7,18.7
20.5,19.68
25,27.1
23.4,19.23
18.9,18.1
35.4,37.28
24.7,21.21
31.6,34.93
23.3,22.38
19.6,20.8
18.7,16.01
16,16.13
22.2,16.66
25,24.99
33,31.99
23.5,24.41
19.4,15.22
22,21.41
17.4,18.44
20.9,19.18
24.2,19.41
21.7,21.7
22.8,22.18
23.4,24.74
24.1,23.7
21.4,24.66
20,15.25
20.8,24.74
21.2,18.19
20.3,20.47
28,30.3
23.9,23.77
24.8,26.8
22.9,22.81
23.9,23.79
26.6,23.56
22.5,26.38
22.2,18.47
23.6,28.87
28.7,29.24
22.6,20.52
22,22.3
22.9,22.3
25,26.62
20.6,14.51
28.4,29.85
21.4,21.22
38.7,42.05
43.8,42.98
33.2,38.06
27.5,29.36
26.5,33
18.6,22.34
19.3,19.9
20.1,18.98
19.5,19.89
19.5,20.68
20.4,20.74
19.8,16.08
19.4,21.82
21.7,19.81
22.8,19.87
18.8,24.69
18.7,16.32
18.5,17.74
18.3,13.15
21.2,20.6
19.2,15.09
20.4,22.74
19.3,23.75
22,24.92
20.3,18.01
20.5,27.95
17.3,14.23
18.8,21.4
21.4,18.85
15.7,14.21
16.2,19.97
18,17.71
14.3,9.2
19.2,20.76
19.6,27.12
23,17.55
18.4,18.79
15.6,8.56
18.1,21.67
17.4,15.39
17.1,19.59
13.3,10.08
17.8,19.97
14,20.14
14.4,16.96
13.4,13.58
15.6,11.59
11.8,10.17
13.8,15.37
15.6,15.91
14.6,13.89
17.8,22.44
15.4,15.13
21.5,22.28
19.6,16.4
15.3,17.56
19.4,17.17
17,20.13
15.6,17.34
13.1,12.22
41.3,39.62
24.3,21.23
23.3,20.05
27,31.01
50,54.31
50,53.35
50,49.26
22.7,22.48
25,27.64
50,50.2
23.8,22.76
23.8,25.84
22.3,21.77
17.4,18.57
19.1,21.29
23.1,26.1
23.6,30.91
22.6,17.76
29.4,25.66
23.2,24.87
24.6,32.54
29.9,29.33
37.2,38.36
39.8,39.56
36.2,37.26
37.9,40.88
32.5,34.04
26.4,28.47
29.6,30.81
50,52.51
32,32.17
29.8,30.17
34.9,32.23
37,36.06
30.5,26.2
36.4,35.51
31.1,31.64
29.1,28.15
50,50.12
33.3,32.55
30.3,31.83
34.6,36.8
34.9,39.73
32.9,30.69
24.1,18.85
42.3,41.7
48.5,50.15
50,53.27
22.6,23.74
24.4,25.61
22.5,24.79
24.4,22.3
20,19.34
21.7,22.06
19.3,18.25
22.4,21.97
28.1,29.39
23.7,22.1
25,30.21
23.3,21.9
28.7,25.97
21.5,20.06
23,21.03
26.7,21.89
21.7,18
27.5,28.42
30.1,32.54
44.8,44.19
50,45.14
37.6,37.93
31.6,32.46
46.7,46.43
31.5,32.13
24.3,18.66
31.7,24.6
41.7,40.64
48.3,43
29,29.87
24,25.85
25.1,26.81
31.5,31.18
23.7,19.99
23.3,23.1
22,21.7
20.1,18.97
22.2,28.11
23.7,24.97
17.6,23
18.5,21.32
24.3,23.87
20.5,19.74
24.5,27.73
26.2,33.88
24.4,25.19
24.8,24.27
29.6,31.3
42.8,42.26
21.9,25.41
20.9,24.15
44,45.85
50,50.94
36,30.26
30.1,30.91
33.8,35.69
43.1,44.42
48.8,48.59
31,34.89
36.5,27.42
22.8,24.61
30.7,33.65
50,50.11
43.5,43.28
20.7,19.58
21.1,28.8
25.2,25.64
24.4,21.99
35.2,32.18
32.4,27.19
32,34.79
33.2,35
33.1,31.71
29.1,30.82
35.1,38.65
45.4,45.87
35.4,39.09
46,44.64
50,47.4
32.2,32.14
22,27.1
20.1,17.51
23.2,27.58
22.3,21.93
24.8,24.35
28.5,30.8
37.3,39.31
27.9,33.49
23.9,22.62
21.7,18.41
28.6,25.27
27.1,27.75
20.3,15.74
22.5,21.93
29,26.72
24.8,23.33
22,22.1
26.4,23.15
33.1,33.28
36.1,37.01
28.4,27.9
33.4,31.52
28.2,24.51
22.8,22.67
20.3,22.6
16.1,14.97
22.1,24.22
19.4,22.99
21.6,20.6
23.8,22.83
16.2,16
17.8,16.41
19.8,20.39
23.1,27.1
21,20.44
23.8,22.57
23.1,26.77
20.4,18.78
18.5,20.12
25,24.91
24.6,25.89
23,21.56
22.2,29.85
19.3,19.84
22.6,22.99
19.8,16.77
17.1,19.04
19.4,25.83
22.2,22.7
20.7,26.65
21.1,23.53
19.5,19.71
18.5,12.93
20.6,23.41
19,20.92
18.7,20.14
32.7,33.28
16.5,13.29
23.9,22.39
31.2,33.31
17.5,16.01
17.2,15.77
23.1,24.73
24.5,25.62
26.6,25.93
22.9,23.3
24.1,21.35
18.6,20.73
30.1,31.37
18.2,18.53
20.6,19.59
17.8,18.18
21.7,23.85
22.7,23.97
22.6,23.28
25,25.94
19.9,24.45
20.8,20.61
16.8,15.96
21.9,25.95
27.5,26.08
21.9,20.55
23.1,24.26
50,54.85
50,57.19
50,53.23
50,47.31
50,51.96
13.8,14.83
13.8,9.68
15,15.83
13.9,12.47
13.3,11.29
13.1,10.84
10.2,8.55
10.4,9.15
10.9,9.19
11.3,14.57
12.3,14.5
8.8,13.65
7.2,4.8
10.5,8.44
7.4,11.01
10.2,13.35
11.5,12.12
15.1,11.33
23.2,20.47
9.7,11.9
13.8,14.19
12.7,11.08
13.1,21.17
12.5,9.62
8.5,4.7
5,7.7
6.3,9.92
5.6,9.13
7.2,6.42
12.1,12.97
8.3,6.6
8.5,10.24
5,6.34
11.9,15.24
27.9,25.39
17.2,17.5
27.5,28.56
15,19.2
17.2,22.09
17.9,20.56
16.3,11.25
7,2.77
7.2,5.9
7.5,7.34
10.4,9.71
8.8,10.57
8.4,10.01
16.7,12.53
14.2,12.46
20.8,21.79
13.4,10.17
11.7,14.25
8.3,10.2
10.2,11.9
10.9,15.32
11,12.37
9.5,11.87
14.5,17.85
14.1,15.75
16.1,15.86
14.3,18.17
11.7,9.42
13.4,6.11
9.6,12.78
8.7,12.56
8.4,12.2
12.8,10.99
10.5,12.57
17.1,20.06
18.4,21.56
15.4,12.8
10.8,8.12
11.8,9.84
14.9,11.32
12.6,17.84
14.1,11.32
13,17.42
13.4,13.19
15.2,17.68
16.1,14.05
17.8,18.49
14.9,13.26
14.1,14.96
12.7,14.57
13.5,18.38
14.9,14.19
20,24.22
16.4,20.07
17.7,15.3
19.5,17.57
20.2,19.79
21.4,25.58
19.9,22.8
19,19.24
19.1,19.17
19.1,20.29
20.1,18.26
19.9,15
19.6,18.21
23.2,25.52
29.8,25.21
13.8,16.8
13.3,16.46
16.7,19.31
12,13.59
14.6,14.47
21.4,23.98
23,22.53
23.7,21.85
25,25.76
21.8,22.83
20.6,18.22
21.2,19.23
19.1,17.4
20.6,17.46
15.2,19.56
7,6.35
8.1,6.53
13.6,18.09
20.1,16.39
21.8,22.47
24.5,21.39
23.1,20.92
19.7,15.64
18.3,21.29
21.2,20.17
17.5,10.69
